TITLE;YEAR;IMDB RATING;USER RATINGS
A Malvada;1950;8.2; 127,655
Quanto Mais Quente Melhor;1959;8.2; 257,996
Batman Begins;2005;8.2; 1,383,325
Os Imperdoáveis;1992;8.2; 397,567
Filhos do Paraíso;1997;8.2; 71,752
Jai Bhim;2021;8.2; 166,154
O Castelo Animado;2004;8.2; 367,362
O Lobo de Wall Street;2013;8.2; 1,300,288
Julgamento em Nuremberg;1961;8.2; 74,814
Sangue Negro;2007;8.2; 556,020
Fugindo do Inferno;1963;8.2; 237,024
Cassino;1995;8.2; 496,345
O Tesouro da Sierra Madre;1948;8.2; 121,349
O Labirinto do Fauno;2006;8.1; 646,758
Uma Mente Brilhante;2001;8.1; 894,609
O Segredo dos Seus Olhos;2009;8.1; 203,539
Touro Indomável;1980;8.1; 340,331
Chinatown;1974;8.1; 314,098
Meu Amigo Totoro;1988;8.1; 318,496
Ilha do Medo;2010;8.1; 1,225,175
Jogos, Trapaças e Dois Canos Fumegantes;1998;8.1; 562,786
Dersu Uzala;1975;8.1; 26,700
Onde os Fracos Não Têm Vez;2007;8.1; 920,103
Disque M para Matar;1954;8.1; 169,372
Klaus;2019;8.1; 135,772
Em Busca do Ouro;1925;8.1; 107,910
O Enigma de Outro Mundo;1982;8.1; 401,046
Três Anúncios para um Crime;2017;8.1; 477,644
O Sétimo Selo;1957;8.1; 178,393
O Homem Elefante;1980;8.1; 233,506
O Sexto Sentido;1999;8.1; 954,178
O Show de Truman: O Show da Vida;1998;8.1; 1,010,228
Jurassic Park: O Parque dos Dinossauros;1993;8.1; 925,832
Morangos Silvestres;1957;8.1; 103,796
O 3º Homem;1949;8.1; 167,299
Memórias de um Assassino;2003;8.1; 165,452
V de Vingança;2005;8.1; 1,082,766
Blade Runner: O Caçador de Androides;1982;8.1; 735,570
Trainspotting: Sem Limites;1996;8.1; 664,235
Divertida Mente;2015;8.1; 668,948
A Ponte do Rio Kwai;1957;8.1; 213,929
Fargo: Uma Comédia de Erros;1996;8.1; 652,795
Procurando Nemo;2003;8.1; 998,914
Guerreiro;2011;8.1; 455,503
Kill Bill: Volume 1;2003;8.1; 1,064,029
...E o Vento Levou;1939;8.1; 305,289
Era uma Vez em Tóquio;1953;8.1; 58,924
Sindicato de Ladrões;1954;8.1; 150,393
Meu Pai e Meu Filho;2005;8.1; 84,265
Relatos Selvagens;2014;8.1; 189,971
Duna;2021;8.1; 436,433
Os Suspeitos;2013;8.1; 656,480
Stalker;1979;8.1; 128,892
O Grande Hotel Budapeste;2014;8.1; 762,759
O Franco Atirador;1978;8.1; 328,732
A General;1926;8.1; 88,183
Bancando o Águia;1924;8.1; 47,120
Quando Duas Mulheres Pecam;1966;8.1; 112,937
Gran Torino;2008;8.1; 751,234
Antes do Amanhecer;1995;8.1; 292,180
Mary e Max: Uma Amizade Diferente;2009;8.1; 172,690
Z;1969;8.1; 27,021
Prenda-me se for Capaz;2002;8.1; 911,202
A Mulher Faz o Homem;1939;8.1; 112,778
Barry Lyndon;1975;8.1; 161,005
Em Nome do Pai;1993;8.1; 168,334
Garota Exemplar;2014;8.1; 928,784
O Quarto de Jack;2015;8.1; 399,936
Até o Último Homem;2016;8.1; 482,982
O Martírio de Joana D'Arc;1928;8.1; 52,376
Assassinato às Cegas;2018;8.1; 86,140
Ford vs Ferrari;2019;8.1; 349,982
12 Anos de Escravidão;2013;8.1; 674,143
Ser ou Não Ser;1942;8.1; 34,852
O Grande Lebowski;1998;8.1; 777,559
Sociedade dos Poetas Mortos;1989;8.1; 459,293
Como Treinar o Seu Dragão;2010;8.1; 705,080
